#,Country / Entity,Type,Address
1,Afghanistan,Member State,"633 Third Avenue, 27th Floor, New York, NY 10017"
2,Albania,Member State,"320 East 79th Street, New York, NY 10075"
3,Algeria,Member State,"326 East 48th Street, New York, NY 10017"
4,Andorra,Member State,"Two United Nations Plaza, 27th Floor, New York, NY 10017"
5,Angola,Member State,"820 Second Avenue, 12th Floor, New York, NY 10017"
6,Antigua and Barbuda,Member State,"305 East 47th Street, 6th Floor, New York, NY 10017"
7,Argentina,Member State,"One United Nations Plaza, 25th Floor, New York, NY 10017"
8,Armenia,Member State,"119 East 36th Street, New York, NY 10016"
9,Australia,Member State,"150 East 42nd Street, 33rd Floor, New York, NY 10017"
10,Austria,Member State,"600 Third Avenue, 31st Floor, New York, NY 10016"
11,Azerbaijan,Member State,"866 United Nations Plaza, Suite 560, New York, NY 10017"
12,Bahamas,Member State,"231 East 46th Street, New York, NY 10017"
13,Bahrain,Member State,"866 Second Avenue, 14th & 15th Floors, New York, NY 10017"
14,Bangladesh,Member State,"820 Second Avenue, 4th Floor, New York, NY 10017"
15,Barbados,Member State,"820 Second Avenue, 9th Floor, New York, NY 10017"
16,Belarus,Member State,"136 East 67th Street, 4th Floor, New York, NY 10065"
17,Belgium,Member State,"885 Second Avenue, 41st Floor, New York, NY 10017"
18,Belize,Member State,"675 Third Avenue, Suite 1911, New York, NY 10017"
19,Benin,Member State,"125 East 38th Street, New York, NY 10016"
20,Bhutan,Member State,"343 East 43rd Street, New York, NY 10017"
21,Bolivia (Plurinational State of),Member State,"801 Second Avenue, Suite 402, New York, NY 10017"
22,Bosnia and Herzegovina,Member State,"420 Lexington Avenue, Suites 607 & 608, New York, NY 10170"
23,Botswana,Member State,"154 East 46th Street, New York, NY 10017"
24,Brazil,Member State,"747 Third Avenue, 9th Floor, New York, NY 10017"
25,Brunei Darussalam,Member State,"771 United Nations Plaza, New York, NY 10017"
26,Bulgaria,Member State,"11 East 84th Street, New York, NY 10028"
27,Burkina Faso,Member State,"633 Third Avenue, Suite 31A, New York, NY 10017"
28,Burundi,Member State,"336 East 45th Street, 12th Floor, New York, NY 10017"
29,Cabo Verde,Member State,"27 East 69th Street, New York, NY 10021"
30,Cambodia,Member State,"327 East 58th Street, New York, NY 10022"
31,Cameroon,Member State,"22 East 73rd Street, New York, NY 10021"
32,Canada,Member State,"885 Second Avenue, 14th Floor, New York, NY 10017"
33,Central African Republic,Member State,"866 United Nations Plaza, Suite 444, New York, NY 10017"
34,Chad,Member State,"129 East 36th Street, New York, NY 10016"
35,Chile,Member State,"885 Second Avenue, 40th Floor, New York, NY 10017"
36,China,Member State,"350 East 35th Street, New York, NY 10016"
37,Colombia,Member State,"140 East 57th Street, 5th Floor, New York, NY 10022"
38,Comoros,Member State,"866 United Nations Plaza, Suite 418, New York, NY 10017"
39,Congo,Member State,"14 East 65th Street, New York, NY 10065"
40,Costa Rica,Member State,"211 East 43rd Street, Room 1002, New York, NY 10017"
41,Cote d'Ivoire,Member State,"800 Second Avenue, 5th Floor, New York, NY 10017"
42,Croatia,Member State,"820 Second Avenue, 19th Floor, New York, NY 10017"
43,Cuba,Member State,"315 Lexington Avenue, New York, NY 10016"
44,Cyprus,Member State,"13 East 40th Street, New York, NY 10016"
45,Czech Republic,Member State,"1109-1111 Madison Avenue, New York, NY 10028"
46,Democratic People's Republic of Korea,Member State,"820 Second Avenue, 13th Floor, New York, NY 10017"
47,Democratic Republic of the Congo,Member State,"866 United Nations Plaza, Suite 511, New York, NY 10017"
48,Denmark,Member State,"885 Second Avenue, 18th Floor, New York, NY 10017"
49,Djibouti,Member State,"866 United Nations Plaza, Suite 4011, New York, NY 10017"
50,Dominica,Member State,"800 Second Avenue, Suite 400H, New York, NY 10017"
51,Dominican Republic,Member State,"144 East 44th Street, 4th Floor, New York, NY 10017"
52,Ecuador,Member State,"866 United Nations Plaza, Room 516, New York, NY 10017"
53,Egypt,Member State,"304 East 44th Street, New York, NY 10017"
54,El Salvador,Member State,"46 Park Avenue, New York, NY 10016"
55,Equatorial Guinea,Member State,"800 Second Avenue, Suite 305, New York, NY 10017"
56,Eritrea,Member State,"800 Second Avenue, 18th Floor, New York, NY 10017"
57,Estonia,Member State,"305 East 47th Street, Unit 6B, New York, NY 10017"
58,Eswatini (Swaziland),Member State,"408 East 50th Street, New York, NY 10022"
59,Ethiopia,Member State,"866 Second Avenue, 3rd Floor, New York, NY 10017"
60,Fiji,Member State,"801 Second Avenue, 10th Floor, New York, NY 10017"
61,Finland,Member State,"866 United Nations Plaza, Suite 222, New York, NY 10017"
62,France,Member State,"245 East 47th Street, 44th Floor, New York, NY 10017"
63,Gabon,Member State,"18 East 41st Street, 9th Floor, New York, NY 10017"
64,Gambia,Member State,"336 East 45th Street, 7th Floor, New York, NY 10017"
65,Georgia,Member State,"One United Nations Plaza, 26th Floor, New York, NY 10017"
66,Germany,Member State,"871 United Nations Plaza, New York, NY 10017"
67,Ghana,Member State,"19 East 47th Street, New York, NY 10017"
68,Greece,Member State,"866 Second Avenue, 13th Floor, New York, NY 10017"
69,Grenada,Member State,"800 Second Avenue, Suite 400K, New York, NY 10017"
70,Guatemala,Member State,"57 Park Avenue, New York, NY 10016"
71,Guinea,Member State,"140 East 39th Street, New York, NY 10016"
72,Guinea-Bissau,Member State,"336 East 45th Street, 13th Floor, New York, NY 10017"
73,Guyana,Member State,"801 Second Avenue, 5th Floor, New York, NY 10017"
74,Haiti,Member State,"815 Second Avenue, 6th Floor, New York, NY 10017"
75,Honduras,Member State,"866 United Nations Plaza, Suite 417, New York, NY 10017"
76,Hungary,Member State,"227 East 52nd Street, New York, NY 10022"
